Id,Name
687,Clockwork Orange
688,Dungeons And Dragons (Special Edition)
689,Full Metal Jacket
690,Game Of Death (1978)
691,Lolita
692,Nutty Professor 2: The Klumps Uncensored (Special Edition)
693,Pay It Forward (Special Edition)
694,Playboy 2000: The Party Continues
695,Playboy Centerfold: 2001 Playmate Of The Year
696,Shining
697,Stanley Kubrick Collection
698,Star Trek TV #25: A Piece Of The Action/ By Any Other Name
699,Star Trek TV #26: Return To Tomorrow/ Patterns Of Force
700,X-Men: Reunion/ Out Of The Past/ No Mutant Is An Island
701,"X-Men: Sanctuary/ Proteus/ Weapon X, Lies And Videotape"
702,Eyes Wide Shut (ReRelease)
703,Save The Last Dance (Special Edition)
704,You Can Count On Me (Special Edition)
705,Forever Mine
706,Holiday Heart
707,Bach: St. Matthew Passion: Harnoncourt (DVD-Audio)
708,Chanticleer: Magnificat (DVD-Audio)
709,Fleetwood Mac: Rumours (DVD-Audio)
710,Messiaen: Vingt Regards Sur L'Enfant Jesus: Aimard (DVD-Audio)
711,All Revved Up
712,Bagdad Cafe
713,Black Robe
714,Claim
715,Cotton Club
716,Cutter's Way
717,Go Fish
718,Hollywood Shuffle
719,Hotel New Hampshire
720,Liebestraum
721,Marat Sade
722,Theremin: An Electronic Odyssey
723,Who'll Stop The Rain
724,Chocolat
725,La Cage Aux Folles
726,La Cage Aux Folles II
727,Madonna: What It Feels Like For A Girl DVD Single
728,Apollo 13 (Special Edition/ Dolby Digital)/ Backdraft
729,Casino/ Carlito's Way
730,12 Monkeys (Special Edition/ Dolby Digital)/ Jackal
731,Man In The Iron Mask (MGM/UA)
732,Man On The Moon: Collector's Edition
733,Man Who Knew Too Little
734,Man Who Would be King
735,Man With No Name: Clint Eastwood Gift Set
736,Man With The Golden Gun: Special Edition
737,Man With Two Brains
738,Mana: MTV Unplugged
739,Manchurian Candidate: Special Edition
740,Marnie: Collector's Edition
741,Married To The Mob
742,Mars Attacks!
743,Mask: Platinum Edition
744,"Matrix, The"
745,Maverick
746,McKenzie Break
747,Mean Streets
748,Meet Joe Black
749,Memphis Belle
750,Menace II Society
751,Mercury Rising
752,Mercury Rising (DTS)
753,Mercury Rising: Collector's Edition
754,Message In A Bottle
755,Metallica: A Year & A Half In The Life Of Metallica #1
756,Metallica: Cliff 'Em All
757,Metallica: Cunning Stunts
758,Metallica: With The San Francisco Symphony: S&M
759,Meteor
760,Metroland
761,Michael
762,Michael Collins
